"origin","model","h","forecast","actual","error"
72,"Naive RW",1,55.3515791642038,62.2278942308928,6.87631506668896
72,"Naive RW",6,55.3515791642038,74.1571433657692,18.8055642015653
72,"Naive RW",12,55.3515791642038,85.5269996643066,30.1754205001028
72,"Naive RW (bias-c)",1,55.6772890343615,62.2278942308928,6.55060519653129
72,"Naive RW (bias-c)",6,57.3348139657515,74.1571433657692,16.8223294000176
72,"Naive RW (bias-c)",12,59.3891076302524,85.5269996643066,26.1378920340543
72,"RW + drift",1,55.4347479470179,62.2278942308928,6.79314628387488
72,"RW + drift",6,55.8524701055271,74.1571433657692,18.304673260242
72,"RW + drift",12,56.3578937402059,85.5269996643066,29.1691059241007
72,"AR(1)",1,57.7611915654845,62.2278942308928,4.46670266540828
72,"AR(1)",6,59.5221245024082,74.1571433657692,14.635018863361
72,"AR(1)",12,60.0707348565659,85.5269996643066,25.4562648077408
72,"MA(1)",1,56.8773313437031,62.2278942308928,5.35056288718965
72,"MA(1)",6,57.9589196749781,74.1571433657692,16.198223690791
72,"MA(1)",12,59.2200600814867,85.5269996643066,26.3069395828199
72,"MA(2)",1,57.9031097585877,62.2278942308928,4.3247844723051
72,"MA(2)",6,59.9689532690346,74.1571433657692,14.1881900967346
72,"MA(2)",12,62.0141781983452,85.5269996643066,23.5128214659614
72,"ARMA(1,1)",1,57.2845383150149,62.2278942308928,4.94335591587792
72,"ARMA(1,1)",6,58.8129405365395,74.1571433657692,15.3442028292297
72,"ARMA(1,1)",12,60.3381351277298,85.5269996643066,25.1888645365769
72,"Auto-ARIMA",1,58.3114852037641,62.2278942308928,3.91640902712872
72,"Auto-ARIMA",6,57.4279584939661,74.1571433657692,16.729184871803
72,"Auto-ARIMA",12,53.3089068207071,85.5269996643066,32.2180928435995
73,"Naive RW",1,62.2278942308928,65.7021738135296,3.47427958263687
73,"Naive RW",6,62.2278942308928,70.513636155562,8.2857419246692
73,"Naive RW",12,62.2278942308928,94.0336845799496,31.8057903490569
73,"Naive RW (bias-c)",1,62.5949148709868,65.7021738135296,3.10725894254286
73,"Naive RW (bias-c)",6,64.4627449129697,70.513636155562,6.05089124259226
73,"Naive RW (bias-c)",12,66.7778579537993,94.0336845799496,27.2558266261504
73,"RW + drift",1,62.4201602220192,65.7021738135296,3.28201359151044
73,"RW + drift",6,63.3904376564715,70.513636155562,7.12319849909045
73,"RW + drift",12,64.5746997539267,94.0336845799496,29.458984826023
73,"AR(1)",1,65.5409723168682,65.7021738135296,0.161201496661477
73,"AR(1)",6,68.4499943325489,70.513636155562,2.06364182301304
73,"AR(1)",12,69.7447612091485,94.0336845799496,24.2889233708012
73,"MA(1)",1,65.4325119450802,65.7021738135296,0.269661868449404
73,"MA(1)",6,67.2903973743654,70.513636155562,3.22323878119659
73,"MA(1)",12,69.5146656111842,94.0336845799496,24.5190189687655
73,"MA(2)",1,66.0797330104502,65.7021738135296,-0.377559196920529
73,"MA(2)",6,69.804746881296,70.513636155562,0.708889274265928
73,"MA(2)",12,73.0214957284033,94.0336845799496,21.0121888515464
73,"ARMA(1,1)",1,65.8016540982093,65.7021738135296,-0.0994802846796148
73,"ARMA(1,1)",6,68.5096006227834,70.513636155562,2.00403553277859
73,"ARMA(1,1)",12,71.1138552046455,94.0336845799496,22.9198293753041
73,"Auto-ARIMA",1,71.4654721683263,65.7021738135296,-5.76329835479669
73,"Auto-ARIMA",6,58.5771784244312,70.513636155562,11.9364577311307
73,"Auto-ARIMA",12,52.4767395080256,94.0336845799496,41.556945071924
74,"Naive RW",1,65.7021738135296,65.3285715012323,-0.373602312297294
74,"Naive RW",6,65.7021738135296,75.0028559366862,9.30068212315658
74,"Naive RW",12,65.7021738135296,112.463044208029,46.7608703944994
74,"Naive RW (bias-c)",1,66.0857518836266,65.3285715012323,-0.757180382394239
74,"Naive RW (bias-c)",6,68.037495558109,75.0028559366862,6.9653603785772
74,"Naive RW (bias-c)",12,70.4558241095283,112.463044208029,42.0072200985007
74,"RW + drift",1,65.9508283005359,65.3285715012323,-0.622256799303528
74,"RW + drift",6,67.2082879227808,75.0028559366862,7.79456801390545
74,"RW + drift",12,68.7489272170968,112.463044208029,43.7141169909322
74,"AR(1)",1,67.5942322839627,65.3285715012323,-2.26566078273032
74,"AR(1)",6,69.8112350776063,75.0028559366862,5.19162085907993
74,"AR(1)",12,71.4196721093438,112.463044208029,41.0433720986852
74,"MA(1)",1,66.6463305343542,65.3285715012323,-1.31775903312183
74,"MA(1)",6,68.5989671862167,75.0028559366862,6.40388875046951
74,"MA(1)",12,70.9420796627732,112.463044208029,41.5209645452559
74,"MA(2)",1,67.5274668753497,65.3285715012323,-2.19889537411734
74,"MA(2)",6,70.2134456035038,75.0028559366862,4.78941033318239
74,"MA(2)",12,73.4399342848471,112.463044208029,39.023109923182
74,"ARMA(1,1)",1,67.00885985454,65.3285715012323,-1.68028835330767
74,"ARMA(1,1)",6,69.3379000503104,75.0028559366862,5.66495588637581
74,"ARMA(1,1)",12,72.0072922539329,112.463044208029,40.4557519540962
74,"Auto-ARIMA",1,65.2354182920068,65.3285715012323,0.0931532092254912
74,"Auto-ARIMA",6,56.7231844123626,75.0028559366862,18.2796715243236
74,"Auto-ARIMA",12,52.9604488770649,112.463044208029,59.5025953309641
75,"Naive RW",1,65.3285715012323,68.2584999084473,2.92992840721492
75,"Naive RW",6,65.3285715012323,83.7461903889974,18.417618887765
75,"Naive RW",12,65.3285715012323,105.916999816895,40.5884283156622
75,"Naive RW (bias-c)",1,65.704882765432,68.2584999084473,2.55361714301527
75,"Naive RW (bias-c)",6,67.6192048030189,83.7461903889974,16.1269855859784
75,"Naive RW (bias-c)",12,69.9901551973529,105.916999816895,35.9268446195416
75,"RW + drift",1,65.5675238438223,68.2584999084473,2.69097606462493
75,"RW + drift",6,66.7754599114197,83.7461903889974,16.9707304775777
75,"RW + drift",12,68.2543938114046,105.916999816895,37.6626060054899
75,"AR(1)",1,65.6451397928053,68.2584999084473,2.61336011564195
75,"AR(1)",6,66.7582303465414,83.7461903889974,16.987960042456
75,"AR(1)",12,68.2353683715889,105.916999816895,37.6816314453056
75,"MA(1)",1,65.5766217812728,68.2584999084473,2.68187812717447
75,"MA(1)",6,67.4025888620193,83.7461903889974,16.3436015269781
75,"MA(1)",12,69.5875921412083,105.916999816895,36.3294076756863
75,"MA(2)",1,65.0652303377502,68.2584999084473,3.19326957069707
75,"MA(2)",6,67.0568822701014,83.7461903889974,16.689308118896
75,"MA(2)",12,69.8567068041159,105.916999816895,36.0602930127787
75,"ARMA(1,1)",1,65.4875513410866,68.2584999084473,2.77094856736062
75,"ARMA(1,1)",6,67.4135915932795,83.7461903889974,16.3325987957179
75,"ARMA(1,1)",12,69.828636724302,105.916999816895,36.0883630925925
75,"Auto-ARIMA",1,60.7066194958554,68.2584999084473,7.55188041259186
75,"Auto-ARIMA",6,56.8300405309346,83.7461903889974,26.9161498580628
75,"Auto-ARIMA",12,53.4562335542705,105.916999816895,52.4607662626241
76,"Naive RW",1,68.2584999084473,73.408181623979,5.14968171553178
76,"Naive RW",6,68.2584999084473,80.7842854091099,12.5257855006627
76,"Naive RW",12,68.2584999084473,111.4971429734,43.238643064953
76,"Naive RW (bias-c)",1,68.647369474575,73.408181623979,4.76081214940406
76,"Naive RW (bias-c)",6,70.625201733913,80.7842854091099,10.1590836751969
76,"Naive RW (bias-c)",12,73.0739633400387,111.4971429734,38.4231796333616
76,"RW + drift",1,68.5444352047323,73.408181623979,4.86374641924678
76,"RW + drift",6,69.9921791245278,80.7842854091099,10.7921062845821
76,"RW + drift",12,71.7698915910944,111.4971429734,39.7272513823059
76,"AR(1)",1,69.9428596678035,73.408181623979,3.4653219561755
76,"AR(1)",6,72.1783456376344,80.7842854091099,8.60593977147551
76,"AR(1)",12,74.0179863077728,111.4971429734,37.4791566656275
76,"MA(1)",1,70.3264609667159,73.408181623979,3.08172065726312
76,"MA(1)",6,72.5865580251662,80.7842854091099,8.19772738394374
76,"MA(1)",12,75.3161136958453,111.4971429734,36.181029277555
76,"MA(2)",1,70.7542570305889,73.408181623979,2.65392459339017
76,"MA(2)",6,74.5045919291638,80.7842854091099,6.27969347994612
76,"MA(2)",12,78.1433241282794,111.4971429734,33.3538188451209
76,"ARMA(1,1)",1,70.4811587487968,73.408181623979,2.92702287518227
76,"ARMA(1,1)",6,73.2608861122456,80.7842854091099,7.52339929686428
76,"ARMA(1,1)",12,76.3089438485161,111.4971429734,35.1881991248842
76,"Auto-ARIMA",1,68.1359605917437,73.408181623979,5.27222103223539
76,"Auto-ARIMA",6,57.0707905997215,80.7842854091099,23.7134948093884
76,"Auto-ARIMA",12,54.8574842629562,111.4971429734,56.6396587104441
77,"Naive RW",1,73.4081816239791,74.1571433657692,0.748961741790097
77,"Naive RW",6,73.4081816239791,74.743181402033,1.33499977805397
77,"Naive RW",12,73.4081816239791,117.663810003371,44.2556283793924
77,"Naive RW (bias-c)",1,73.8234784023724,74.1571433657692,0.333664963396743
77,"Naive RW (bias-c)",6,75.9354715361352,74.743181402033,-1.19229013410221
77,"Naive RW (bias-c)",12,78.5497707456038,117.663810003371,39.1140392577677
77,"RW + drift",1,73.7813473401266,74.1571433657692,0.3757960256426
77,"RW + drift",6,75.6758239741456,74.743181402033,-0.932642572112613
77,"RW + drift",12,78.0135157617797,117.663810003371,39.6502942415918
77,"AR(1)",1,76.1121543534653,74.1571433657692,-1.95501098769611
77,"AR(1)",6,79.4476280655471,74.743181402033,-4.70444666351405
77,"AR(1)",12,81.9142004561521,117.663810003371,35.7496095472194
77,"MA(1)",1,75.7877894548622,74.1571433657692,-1.63064608909308
77,"MA(1)",6,78.5718955549083,74.743181402033,-3.82871415287531
77,"MA(1)",12,81.9626523291323,117.663810003371,35.7011576742392
77,"MA(2)",1,76.9256678866042,74.1571433657692,-2.76852452083503
77,"MA(2)",6,81.2373367692997,74.743181402033,-6.49415536726663
77,"MA(2)",12,85.7129505706638,117.663810003371,31.9508594327077
77,"ARMA(1,1)",1,76.1747977520768,74.1571433657692,-2.01765438630761
77,"ARMA(1,1)",6,79.6162521190671,74.743181402033,-4.87307071703405
77,"ARMA(1,1)",12,83.39937823542,117.663810003371,34.2644317679514
77,"Auto-ARIMA",1,73.3473803138285,74.1571433657692,0.809763051940635
77,"Auto-ARIMA",6,58.1272014987111,74.743181402033,16.615979903322
77,"Auto-ARIMA",12,55.292041959744,117.663810003371,62.3717680436275
78,"Naive RW",1,74.1571433657692,70.513636155562,-3.64350721020719
78,"Naive RW",6,74.1571433657692,85.5269996643066,11.3698562985375
78,"Naive RW",12,74.1571433657692,104.704999542236,30.5478561764672
78,"Naive RW (bias-c)",1,74.5713329188956,70.513636155562,-4.05769676333361
78,"Naive RW (bias-c)",6,76.6772407518663,85.5269996643066,8.84975891244035
78,"Naive RW (bias-c)",12,79.2829791234055,104.704999542236,25.4220204188308
78,"RW + drift",1,74.5389712387191,70.513636155562,-4.02533508315717
78,"RW + drift",6,76.4778037563307,85.5269996643066,9.04919590797599
78,"RW + drift",12,78.8710864783884,104.704999542236,25.8339130638479
78,"AR(1)",1,75.0347086418826,70.513636155562,-4.52107248632062
78,"AR(1)",6,77.1466627591856,85.5269996643066,8.38033690512101
78,"AR(1)",12,79.5617789655868,104.704999542236,25.1432205766495
78,"MA(1)",1,74.4687192560082,70.513636155562,-3.95508310044627
78,"MA(1)",6,77.0830522700371,85.5269996643066,8.4439473942695
78,"MA(1)",12,80.2592069691604,104.704999542236,24.4457925730759
78,"MA(2)",1,74.4174522571827,70.513636155562,-3.90381610162075
78,"MA(2)",6,77.1772034951633,85.5269996643066,8.34979616914332
78,"MA(2)",12,81.0594889345616,104.704999542236,23.6455106076747
78,"ARMA(1,1)",1,74.5491289256469,70.513636155562,-4.0354927700849
78,"ARMA(1,1)",6,77.3069583296724,85.5269996643066,8.22004133463425
78,"ARMA(1,1)",12,80.7589541381895,104.704999542236,23.9460454040468
78,"Auto-ARIMA",1,70.2500888204525,70.513636155562,0.263547335109479
78,"Auto-ARIMA",6,57.4448619476024,85.5269996643066,28.0821377167042
78,"Auto-ARIMA",12,55.2594643257091,104.704999542236,49.4455352165272
79,"Naive RW",1,70.513636155562,75.0028559366862,4.48921978112422
79,"Naive RW",6,70.513636155562,94.0336845799496,23.5200484243877
79,"Naive RW",12,70.513636155562,97.7408689415973,27.2272327860353
79,"Naive RW (bias-c)",1,70.9036156285645,75.0028559366862,4.09924030812171
79,"Naive RW (bias-c)",6,72.8861045896363,94.0336845799496,21.1475799903133
79,"Naive RW (bias-c)",12,75.3383959739591,97.7408689415973,22.4024729676382
79,"RW + drift",1,70.8269139981436,75.0028559366862,4.17594193854262
79,"RW + drift",6,72.4143047489266,94.0336845799496,21.619379831023
79,"RW + drift",12,74.3662051507577,97.7408689415973,23.3746637908396
79,"AR(1)",1,69.6571679706891,75.0028559366862,5.34568796599713
79,"AR(1)",6,70.3286501711688,94.0336845799496,23.7050344087808
79,"AR(1)",12,72.2157495209626,97.7408689415973,25.5251194206347
79,"MA(1)",1,69.7632304873601,75.0028559366862,5.23962544932607
79,"MA(1)",6,71.8926673230108,94.0336845799496,22.1410172569388
79,"MA(1)",12,74.4578289508477,97.7408689415973,23.2830399907496
79,"MA(2)",1,69.0068390968897,75.0028559366862,5.99601683979651
79,"MA(2)",6,70.9488939445863,94.0336845799496,23.0847906353633
79,"MA(2)",12,74.0582610361532,97.7408689415973,23.6826079054441
79,"ARMA(1,1)",1,69.5306236755266,75.0028559366862,5.47223226115956
79,"ARMA(1,1)",6,71.5227967859279,94.0336845799496,22.5108877940217
79,"ARMA(1,1)",12,74.2748559848813,97.7408689415973,23.466012956716
79,"Auto-ARIMA",1,65.9869678961161,75.0028559366862,9.01588804057009
79,"Auto-ARIMA",6,56.8029811097976,94.0336845799496,37.2307034701521
79,"Auto-ARIMA",12,55.1984891231418,97.7408689415973,42.5423798184556
80,"Naive RW",1,75.0028559366862,83.7461903889974,8.7433344523112
80,"Naive RW",6,75.0028559366862,112.463044208029,37.4601882713429
80,"Naive RW",12,75.0028559366862,90.3247611636207,15.3219052269345
80,"Naive RW (bias-c)",1,75.4142595406248,83.7461903889974,8.33193084837256
80,"Naive RW (bias-c)",6,77.5053754360679,112.463044208029,34.9576687719612
80,"Naive RW (bias-c)",12,80.0913931405055,90.3247611636207,10.2333680231152
80,"RW + drift",1,75.3900451354029,83.7461903889974,8.35614525359449
80,"RW + drift",6,77.3561802519048,112.463044208029,35.1068639561243
80,"RW + drift",12,79.7833435598315,90.3247611636207,10.5414176037893
80,"AR(1)",1,77.3993099126061,83.7461903889974,6.34688047639125
80,"AR(1)",6,80.5512646175081,112.463044208029,31.911779590521
80,"AR(1)",12,83.0879384575532,90.3247611636207,7.23682270606757
80,"MA(1)",1,78.3982240029214,83.7461903889974,5.34796638607598
80,"MA(1)",6,81.3355880776148,112.463044208029,31.1274561304143
80,"MA(1)",12,84.920466928423,90.3247611636207,5.40429423519771
80,"MA(2)",1,78.9840335630679,83.7461903889974,4.76215682592948
80,"MA(2)",6,84.0512312722847,112.463044208029,28.4118129357444
80,"MA(2)",12,88.6614832722236,90.3247611636207,1.66327789139712
80,"ARMA(1,1)",1,78.558813172671,83.7461903889974,5.18737721632644
80,"ARMA(1,1)",6,82.2120711071561,112.463044208029,30.250973100873
80,"ARMA(1,1)",12,86.1385673861291,90.3247611636207,4.18619377749162
80,"Auto-ARIMA",1,75.7351512866856,83.7461903889974,8.01103910231177
80,"Auto-ARIMA",6,57.7961227293113,112.463044208029,54.6669214787177
80,"Auto-ARIMA",12,53.1561916248247,90.3247611636207,37.168569538796
81,"Naive RW",1,83.7461903889974,80.7842854091099,-2.96190497988748
81,"Naive RW",6,83.7461903889974,105.916999816895,22.1708094278971
81,"Naive RW",12,83.7461903889974,93.5938095819382,9.84761919294084
81,"Naive RW (bias-c)",1,84.2061857370936,80.7842854091099,-3.42190032798365
81,"Naive RW (bias-c)",6,86.5443406505495,105.916999816895,19.3726591663451
81,"Naive RW (bias-c)",12,89.4359834620296,93.5938095819382,4.15782611990862
81,"RW + drift",1,84.2878267143734,80.7842854091099,-3.50354130526347
81,"RW + drift",6,87.0490099298805,105.916999816895,18.8679898870141
81,"RW + drift",12,90.4820875382525,93.5938095819382,3.11172204368576
81,"AR(1)",1,88.1352171423439,80.7842854091099,-7.35093173323394
81,"AR(1)",6,93.3938511659555,105.916999816895,12.523148650939
81,"AR(1)",12,97.097905665309,93.5938095819382,-3.50409608337075
81,"MA(1)",1,87.4248069676734,80.7842854091099,-6.64052155856344
81,"MA(1)",6,91.2810895908302,105.916999816895,14.6359102260643
81,"MA(1)",12,96.0350178840539,93.5938095819382,-2.44120830211567
81,"MA(2)",1,89.4749204254122,80.7842854091099,-8.69063501630224
81,"MA(2)",6,95.5261236534371,105.916999816895,10.3908761634574
81,"MA(2)",12,101.666084359276,93.5938095819382,-8.07227477733785
81,"ARMA(1,1)",1,88.1142421057506,80.7842854091099,-7.32995669664072
81,"ARMA(1,1)",6,92.9106493659942,105.916999816895,13.0063504509003
81,"ARMA(1,1)",12,98.1521870962495,93.5938095819382,-4.55837751431127
81,"Auto-ARIMA",1,83.7519788792439,80.7842854091099,-2.96769347013398
81,"Auto-ARIMA",6,60.2140982433343,105.916999816895,45.7029015735602
81,"Auto-ARIMA",12,52.7638907432602,93.5938095819382,40.829918838678
82,"Naive RW",1,80.7842854091099,74.743181402033,-6.0411040070769
82,"Naive RW",6,80.7842854091099,111.4971429734,30.7128575642904
82,"Naive RW",12,80.7842854091099,91.1142857869466,10.3300003778367
82,"Naive RW (bias-c)",1,81.2232280097952,74.743181402033,-6.48004660776212
82,"Naive RW (bias-c)",6,83.4539762664411,111.4971429734,28.0431667069592
82,"Naive RW (bias-c)",12,86.2118928131824,91.1142857869466,4.90239297376421
82,"RW + drift",1,81.2646801591928,74.743181402033,-6.52149875715975
82,"RW + drift",6,83.7098461791776,111.4971429734,27.7872967942227
82,"RW + drift",12,86.7413546069613,91.1142857869466,4.37293117998527
82,"AR(1)",1,80.3479891303308,74.743181402033,-5.60480772829776
82,"AR(1)",6,82.0319053666319,111.4971429734,29.4652376067684
82,"AR(1)",12,84.9961207413072,91.1142857869466,6.11816504563944
82,"MA(1)",1,79.1883569345,74.743181402033,-4.44517553246699
82,"MA(1)",6,82.1445734927472,111.4971429734,29.3525694806531
82,"MA(1)",12,85.7511538730404,91.1142857869466,5.36313191390617
82,"MA(2)",1,78.5892170103766,74.743181402033,-3.84603560834358
82,"MA(2)",6,80.6830467247006,111.4971429734,30.8140962486997
82,"MA(2)",12,84.7232022871185,91.1142857869466,6.39108349982813
82,"ARMA(1,1)",1,79.0945044765212,74.743181402033,-4.35132307448814
82,"ARMA(1,1)",6,81.8189639641994,111.4971429734,29.6781790092009
82,"ARMA(1,1)",12,85.5947046575368,91.1142857869466,5.51958112940977
82,"Auto-ARIMA",1,72.1881682874496,74.743181402033,2.55501311458345
82,"Auto-ARIMA",6,56.9005975577842,111.4971429734,54.5965454156161
82,"Auto-ARIMA",12,52.4658809049722,91.1142857869466,38.6484048819744
83,"Naive RW",1,74.743181402033,85.5269996643066,10.7838182622736
83,"Naive RW",6,74.743181402033,117.663810003371,42.9206286013384
83,"Naive RW",12,74.743181402033,81.3414284842355,6.59824708220248
83,"Naive RW (bias-c)",1,75.1471281905892,85.5269996643066,10.3798714737174
83,"Naive RW (bias-c)",6,77.1998457978213,117.663810003371,40.4639642055502
83,"Naive RW (bias-c)",12,79.7372560200559,81.3414284842355,1.60417246417957
83,"RW + drift",1,75.1119104437736,85.5269996643066,10.4150892205331
83,"RW + drift",6,76.9830214489645,117.663810003371,40.680788554407
83,"RW + drift",12,79.2899831161124,81.3414284842355,2.05144536812314
83,"AR(1)",1,73.1181769300846,85.5269996643066,12.408822734222
83,"AR(1)",6,73.573127411161,117.663810003371,44.0906825922105
83,"AR(1)",12,75.7662465319082,81.3414284842355,5.57518195232734
