"h","model","n_origins","RMSE","MAE","MAPE"
1,"Naive RW",74,6.77224645838687,5.04113085137837,7.41013374972129
1,"Naive RW (bias-c)",74,6.76661865163027,5.04463256226599,7.42180201733131
1,"RW + drift",74,6.81069118205092,5.08265581607821,7.48022060396636
1,"AR(1)",74,6.69582235055757,5.00696168557971,7.17150411494008
1,"MA(1)",74,6.70998401316405,4.92808964072586,6.98378077868785
1,"MA(2)",74,6.84460911105401,5.01605750353188,7.07423944724277
1,"ARMA(1,1)",74,6.75931961829574,4.9556955361255,7.00018404805004
1,"Auto-ARIMA",74,7.23451827405265,5.28779128208701,7.22829589248247
6,"Naive RW",69,15.3484268541374,12.0643592829777,15.8740934359629
6,"Naive RW (bias-c)",69,15.4169602151074,12.3736706574442,16.3424280591587
6,"RW + drift",69,16.1701656149142,12.9392677517672,17.1993915661885
6,"AR(1)",69,16.504953312147,12.7864091510538,16.9470774546398
6,"MA(1)",69,16.3673401214267,12.8865265665178,17.1177728397087
6,"MA(2)",69,16.7144164702504,12.8454605028864,17.1025832227749
6,"ARMA(1,1)",69,16.5288528875198,12.9060907316465,17.1983164887637
6,"Auto-ARIMA",69,18.4285679107681,13.2672204397316,16.7478468824768
12,"Naive RW",63,22.7724825205127,18.4230661093527,22.9639765676139
12,"Naive RW (bias-c)",63,23.0875721001756,19.399623148743,24.634594746038
12,"RW + drift",63,25.1455167688585,20.8468689718466,26.4703079719479
12,"AR(1)",63,25.4736953772023,21.00020196111,26.7396444623131
12,"MA(1)",63,25.5792521121244,21.2724335613267,27.1521100174054
12,"MA(2)",63,25.9959473167674,21.4922438623509,27.50960717164
12,"ARMA(1,1)",63,25.7878196417114,21.3844857368075,27.3391001224168
12,"Auto-ARIMA",63,25.3152913251693,19.4615507712908,23.5055796058232
