"h","model","n_origins","RMSE","MAE","MAPE","start_origin"
1,"Naive RW",86,6.42797030358665,4.79107308678166,7.08498731597558,48
1,"Naive RW (bias-c)",86,6.42240610975347,4.78962071178231,7.08891000807331,48
1,"RW + drift",86,6.46551417789768,4.82619603985454,7.14544774467386,48
1,"AR(1)",86,6.37461676895732,4.79307041264964,6.93306553051953,48
1,"MA(1)",86,6.39434405094522,4.73123880759305,6.78239222809056,48
1,"MA(2)",86,6.51782132261315,4.80763752548649,6.86087282661562,48
1,"ARMA(1,1)",86,6.43962773380162,4.75626213378902,6.79841822028016,48
1,"Auto-ARIMA",86,6.90594937600494,5.11675449582604,7.10620166547857,48
6,"Naive RW",81,15.7033931795148,12.2102988145632,18.8197749999124,48
6,"Naive RW (bias-c)",81,15.9168766628386,12.6088571973178,19.5340690897681,48
6,"RW + drift",81,16.5964789547444,13.1588761511989,20.3877984293115,48
6,"AR(1)",81,16.9649065663218,13.1235680628971,20.3537354134173,48
6,"MA(1)",81,16.8892536718645,13.2257123963601,20.5549199861782,48
6,"MA(2)",81,17.2557171789173,13.2781288195431,20.7115080307016,48
6,"ARMA(1,1)",81,17.0476233759904,13.2669176792711,20.6715232203415,48
6,"Auto-ARIMA",81,18.3358435680608,13.2031958772587,19.5540912536964,48
12,"Naive RW",75,23.042897640704,18.929154892004,28.7335315096605,48
12,"Naive RW (bias-c)",75,23.7344456614204,20.1173146999718,31.1079453519016,48
12,"RW + drift",75,25.6702838301681,21.5047874055612,33.1491932183071,48
12,"AR(1)",75,26.0195278682382,21.6864039112774,33.5235597401981,48
12,"MA(1)",75,26.2581414365079,22.0740150869217,34.2533596317801,48
12,"MA(2)",75,26.7413575411513,22.3943063966265,34.8811838594366,48
12,"ARMA(1,1)",75,26.4754279480493,22.208611114137,34.5132277762997,48
12,"Auto-ARIMA",75,25.1487338616464,19.7797431239061,29.1202910000124,48
